gene	score	normalized_score
DEPDC5	68.44178534399686	91.10626679030702
STT3B	68.10845234399686	90.6625506441636
CUBN	68.10712509399686	90.66078387563192
KRT6B	68.10712509399686	90.66078387563192
TRRAP	68.10712509399686	90.66078387563192
MAT1A	68.08110935399687	90.62615302932548
TAF1A	68.08110935399687	90.62615302932548
ATRIP	68.08110935399687	90.62615302932548
MAGEL2	68.07850518399687	90.62268648903003
RAB28	68.04821366399688	90.58236393916181
PAM16	68.04821366399688	90.58236393916181
HMGB3	68.04752826299688	90.5814515677786
SIL1	68.04515367199689	90.57829063151611
CLDN14	68.04118958099689	90.57301383269487
CDKN2B	68.04118958099689	90.57301383269487
RAB3GAP1	68.04118958099689	90.57301383269487
CCNK	68.03749826099688	90.56810013292743
COL5A2	68.03444878999689	90.56404083030843
FLRT3	68.02399631999688	90.55012702727639
GJA1	68.02220372099688	90.54774080953058
CD19	68.0061460019969	90.52636558058379
UPB1	68.0061460019969	90.52636558058379
MCOLN1	67.98952953099689	90.50424656904087
SYNE2	67.9852483899969	90.4985477291852
CA8	67.9852483899969	90.4985477291852
MKKS	67.9834557909969	90.49616151143941
UFSP2	67.97123780999691	90.47989754884654
SKIV2L	67.97123780999691	90.47989754884654
CARS2	67.96818833899691	90.47583824622755
KCNJ2	66.6814784379969	88.76303465799505
ZBTB20	66.6781997479969	88.75867023055703
PLP1	66.6738029789969	88.75281747251577
SERPINF2	66.6724757289969	88.7510507039841
KCNQ4	66.6724757289969	88.7510507039841
GPT2	66.6724757289969	88.7510507039841
IFT88	66.63795606799691	88.70509986519798
ADAM22	66.63559199799691	88.70195293396222
ZNF142	66.62358654899691	88.68597188329215
VPS35	66.61737628799692	88.67770509579299
BEAN1	66.61737628799692	88.67770509579299
LIPA	66.61737628799692	88.67770509579299
BPTF	66.61669088699692	88.67679272440976
CLCN7	66.61039539699692	88.66841248434689
VLDLR	66.43759342699691	88.43838718179839
CFHR1	66.43511542699692	88.43508859266937
TLK2	66.43447357799691	88.43423419552092
ACAT2	66.42552032799692	88.42231607884644
TOPORS	66.42483492699692	88.42140370746321
SNORD115-1	66.42247085699692	88.41825677622744
GATAD1	66.41916732699693	88.41385928302915
BMP4	66.41916732699693	88.41385928302915
IGHM	66.41456138699692	88.40772808705944
KRT85	66.41456138699692	88.40772808705944
COL11A2	66.41456138699692	88.40772808705944
STIM1	66.40254355699692	88.39173055542409
RSRC1	66.40254355699692	88.39173055542409
SLC39A4	66.33767624599693	88.30538244933318
COASY	66.33767624599693	88.30538244933318
ANO5	66.33699084499693	88.30447007794996
KRT71	66.33699084499693	88.30447007794996
CPOX	66.33699084499693	88.30447007794996
ND3	66.33634899599693	88.3036156808015
HELLS	66.29896114499694	88.25384685155777
CFHR3	66.29197046399695	88.24454120815543
RP2	66.29132861499694	88.24368681100697
DCX	66.28896454499694	88.24053987977119
SH3BP2	66.28634641599695	88.23705475795612
MRPS34	66.28634641599695	88.23705475795612
TAF2	66.28566101499695	88.23614238657291
PIGN	66.28497561399695	88.23523001518969
LPAR6	66.25654100399694	88.19737929064007
BRD4	66.25654100399694	88.19737929064007
TRPV3	66.25654100399694	88.19737929064007
PSEN1	66.25589915499694	88.19652489349161
COQ6	66.24858169599695	88.18678425962987
KAT6A	66.24793984699694	88.1859298624814
PMS2	66.23768418699694	88.17227804303552
TDGF1	66.23589158799695	88.16989182528971
SLC6A2	66.23524973899694	88.16903742814127
RPL11	66.23524973899694	88.16903742814127
BACH2	66.23524973899694	88.16903742814127
TBR1	66.23524973899694	88.16903742814127
